NoDefaultNextMonth (label),Married,Single,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,EducationLevel_ord_0,EducationLevel_ord_1,EducationLevel_ord_2,EducationLevel_ord_3
0.0,1,0,2130,120,0,0,0,1820,90,1.0,1.0,1.0,0.0
0.0,0,1,890,150,0,0,0,580,90,1.0,1.0,1.0,1.0
0.0,0,1,980,750,1,6,0,680,660,1.0,1.0,1.0,0.0
0.0,0,1,630,40,0,0,6,530,40,1.0,1.0,1.0,1.0
0.0,0,0,1880,60,0,0,0,1880,60,1.0,1.0,0.0,0.0
0.0,1,0,410,340,1,6,0,410,240,1.0,1.0,1.0,0.0
0.0,0,1,1380,60,0,0,0,1260,40,1.0,1.0,1.0,1.0
0.0,0,1,1410,150,0,3,0,1410,50,1.0,1.0,1.0,1.0
0.0,1,0,110,110,2,6,0,60,110,1.0,1.0,1.0,1.0
0.0,1,0,500,270,1,6,0,500,260,1.0,1.0,0.0,0.0
0.0,1,0,5370,250,0,0,4,5370,250,1.0,1.0,1.0,0.0
0.0,0,1,50,40,1,6,0,50,0,1.0,1.0,1.0,1.0
0.0,1,0,12340,920,0,0,6,12220,520,1.0,1.0,1.0,0.0
0.0,1,0,2200,120,0,1,3,2160,120,1.0,1.0,1.0,0.0
0.0,1,0,70,70,1,6,0,0,0,1.0,1.0,1.0,0.0
0.0,0,1,130,130,3,6,0,10,10,1.0,1.0,1.0,1.0
0.0,0,1,310,620,4,6,0,0,0,1.0,1.0,0.0,0.0
0.0,0,1,570,40,0,0,4,570,0,1.0,0.0,0.0,0.0
0.0,0,1,20,10,1,6,0,20,0,1.0,1.0,1.0,1.0
0.0,1,0,280,280,1,6,0,280,180,1.0,1.0,1.0,0.0
0.0,0,1,100,100,2,6,0,0,0,1.0,1.0,1.0,1.0
0.0,0,1,2450,2460,3,5,0,90,170,1.0,1.0,1.0,1.0
0.0,0,1,570,90,0,0,5,450,90,1.0,1.0,1.0,0.0
0.0,0,1,1310,50,0,2,1,1310,50,1.0,1.0,0.0,0.0
0.0,1,0,10,10,0,6,0,10,10,1.0,1.0,1.0,1.0
0.0,0,0,5050,230,0,3,0,5050,200,1.0,1.0,0.0,0.0
0.0,0,1,5500,4490,2,5,0,710,150,1.0,1.0,1.0,1.0
0.0,1,0,4250,330,0,0,0,4020,330,1.0,1.0,1.0,0.0
0.0,0,1,1490,50,0,0,2,1490,50,1.0,1.0,0.0,0.0
0.0,0,1,3970,2440,1,0,1,3970,130,1.0,1.0,1.0,0.0
0.0,0,1,260,70,1,6,0,120,40,1.0,1.0,1.0,0.0
0.0,1,0,3600,1220,2,4,1,2480,1220,1.0,1.0,1.0,1.0
0.0,0,1,380,60,0,0,0,260,0,1.0,1.0,0.0,0.0
0.0,0,1,230,120,1,6,0,230,0,1.0,1.0,1.0,1.0
0.0,0,1,170,230,1,6,0,0,230,1.0,1.0,1.0,1.0
0.0,1,0,50,240,2,6,0,30,50,1.0,1.0,1.0,0.0
0.0,0,1,1440,60,0,0,0,1390,60,1.0,1.0,1.0,0.0
0.0,0,1,2680,110,0,0,3,2560,110,1.0,1.0,1.0,0.0
0.0,1,0,810,2110,4,6,0,120,250,1.0,1.0,1.0,1.0
0.0,0,1,2740,310,0,0,0,2630,120,1.0,1.0,1.0,1.0
0.0,1,0,570,40,0,2,0,570,40,1.0,1.0,0.0,0.0
0.0,0,1,310,310,2,6,0,20,310,1.0,1.0,1.0,1.0
0.0,0,1,1040,1010,2,6,0,0,10,1.0,1.0,1.0,1.0
0.0,1,0,14870,1700,0,0,6,12890,490,1.0,1.0,1.0,1.0
0.0,0,1,1840,150,0,0,6,1730,0,1.0,1.0,1.0,0.0
0.0,0,1,810,810,1,5,0,170,0,1.0,1.0,1.0,0.0
0.0,1,0,190,100,1,6,0,190,90,1.0,1.0,1.0,0.0
0.0,0,1,160,160,4,6,0,20,70,1.0,1.0,1.0,1.0
0.0,0,1,5450,4090,2,0,4,5230,330,1.0,1.0,1.0,0.0
0.0,1,0,0,0,0,6,0,0,0,1.0,1.0,1.0,0.0
0.0,1,0,3310,480,0,0,0,3230,280,1.0,1.0,1.0,1.0
0.0,1,0,530,60,0,0,0,400,60,1.0,1.0,0.0,0.0
0.0,1,0,4650,450,0,0,0,4140,200,1.0,1.0,1.0,0.0
0.0,0,1,1840,160,0,0,0,1590,60,1.0,1.0,1.0,1.0
0.0,0,1,620,40,0,0,0,580,40,1.0,1.0,1.0,0.0
0.0,0,1,170,170,2,6,0,10,10,1.0,1.0,1.0,1.0
0.0,1,0,600,450,2,6,0,600,300,1.0,1.0,1.0,0.0
0.0,0,1,1620,90,0,2,0,1530,60,1.0,1.0,1.0,0.0
0.0,1,0,0,0,0,6,0,0,0,1.0,1.0,1.0,1.0
0.0,0,1,600,40,0,0,5,580,40,1.0,1.0,1.0,1.0
0.0,0,1,0,0,0,6,0,0,0,1.0,1.0,1.0,0.0
0.0,0,1,3360,120,0,0,0,3360,110,1.0,1.0,0.0,0.0
0.0,1,0,1880,80,0,0,3,1850,80,1.0,1.0,0.0,0.0
0.0,0,1,420,420,2,5,0,120,170,1.0,1.0,1.0,1.0
0.0,0,1,100,100,3,6,0,0,80,1.0,1.0,1.0,1.0
0.0,1,0,7740,350,0,0,0,7740,300,1.0,1.0,1.0,0.0
0.0,1,0,7010,260,0,0,0,6940,250,1.0,1.0,0.0,0.0
0.0,0,1,870,60,1,1,4,870,60,1.0,1.0,1.0,0.0
0.0,1,0,430,50,0,6,0,330,50,1.0,1.0,1.0,0.0
0.0,0,1,920,150,0,5,0,530,80,1.0,1.0,1.0,1.0
0.0,1,0,280,60,0,6,0,220,50,1.0,1.0,1.0,0.0
0.0,0,1,1550,70,0,0,3,1550,70,1.0,1.0,1.0,1.0
0.0,0,1,60,110,4,6,0,60,0,1.0,1.0,1.0,0.0
0.0,0,1,630,310,0,0,0,310,30,1.0,1.0,1.0,0.0
0.0,0,1,480,480,1,6,0,370,310,1.0,1.0,1.0,0.0
0.0,0,1,480,480,3,4,0,40,480,1.0,1.0,1.0,1.0
0.0,0,1,320,60,0,4,0,150,30,1.0,1.0,1.0,1.0
0.0,0,1,6020,1690,0,0,2,6020,240,1.0,1.0,1.0,1.0
0.0,1,0,370,60,0,6,0,280,50,1.0,1.0,1.0,0.0
0.0,1,0,650,690,3,6,0,0,0,1.0,1.0,1.0,1.0
0.0,1,0,2650,150,0,0,0,2650,110,1.0,1.0,1.0,0.0
0.0,0,1,1700,920,0,0,0,1300,920,1.0,1.0,1.0,1.0
0.0,0,1,90,90,1,6,0,10,90,1.0,1.0,1.0,1.0
0.0,1,0,6370,3050,0,0,0,6370,250,1.0,1.0,1.0,0.0
0.0,0,1,430,50,0,0,0,280,50,1.0,1.0,0.0,0.0
0.0,1,0,1490,360,0,1,0,730,150,1.0,1.0,1.0,1.0
0.0,0,1,3220,150,0,0,0,3220,120,1.0,1.0,1.0,1.0
0.0,0,1,5990,230,0,0,4,5990,220,1.0,1.0,0.0,0.0
0.0,1,0,430,50,0,0,0,390,0,1.0,1.0,0.0,0.0
0.0,0,1,860,110,0,0,6,740,110,1.0,1.0,1.0,1.0
0.0,0,1,30,30,2,6,0,10,10,1.0,1.0,1.0,0.0
0.0,1,0,40,20,1,6,0,40,10,1.0,1.0,0.0,0.0
0.0,1,0,4890,550,0,0,0,4310,550,1.0,1.0,1.0,1.0
0.0,1,0,850,90,0,0,0,650,90,1.0,1.0,1.0,0.0
0.0,0,1,3200,170,0,0,3,3100,170,1.0,1.0,1.0,1.0
0.0,0,1,470,470,3,6,0,190,470,1.0,1.0,1.0,1.0
0.0,1,0,3130,1530,1,1,2,3130,100,1.0,1.0,1.0,0.0
0.0,1,0,2700,310,0,0,5,2200,110,1.0,1.0,1.0,0.0
0.0,0,1,900,50,0,0,0,860,50,1.0,1.0,1.0,0.0
0.0,0,1,1150,150,0,6,0,1150,150,1.0,1.0,1.0,0.0
0.0,0,1,130,130,2,6,0,20,100,1.0,1.0,1.0,1.0
0.0,0,1,470,460,3,4,0,260,460,1.0,1.0,1.0,0.0
0.0,0,1,0,0,0,6,0,0,0,1.0,1.0,1.0,1.0
0.0,0,1,190,110,3,6,0,190,20,1.0,1.0,1.0,1.0
0.0,0,1,1490,60,0,0,3,1490,0,1.0,1.0,1.0,0.0
0.0,0,1,490,50,0,0,1,490,40,1.0,1.0,1.0,0.0
0.0,1,0,2500,180,0,2,3,2380,180,1.0,1.0,1.0,0.0
0.0,0,1,810,2010,2,6,0,370,460,1.0,1.0,1.0,1.0
0.0,0,1,1510,380,0,2,0,1510,380,1.0,1.0,0.0,0.0
0.0,1,0,3750,2140,1,2,0,1720,2140,1.0,1.0,1.0,1.0
0.0,0,1,400,60,1,2,0,320,40,1.0,1.0,1.0,0.0
0.0,0,1,2090,2090,4,6,0,80,1740,1.0,1.0,1.0,1.0
0.0,1,0,450,160,1,6,0,0,160,1.0,1.0,1.0,0.0
0.0,0,1,660,30,0,0,6,660,0,1.0,1.0,1.0,0.0
0.0,0,1,2010,310,0,3,0,1830,310,1.0,1.0,1.0,1.0
0.0,0,1,530,530,1,6,0,350,10,1.0,1.0,1.0,1.0
0.0,0,1,670,1160,1,6,0,450,1160,1.0,1.0,1.0,1.0
0.0,1,0,1460,610,3,3,1,1460,60,1.0,1.0,1.0,0.0
0.0,1,0,50,50,1,6,0,0,0,1.0,1.0,1.0,0.0
0.0,0,1,590,610,1,0,5,570,50,1.0,1.0,1.0,1.0
0.0,1,0,70,480,2,6,0,10,0,1.0,1.0,1.0,1.0
0.0,1,0,20,0,0,6,0,20,0,1.0,1.0,1.0,1.0
0.0,0,1,840,760,0,6,0,830,760,1.0,1.0,1.0,1.0
0.0,0,1,550,410,2,6,0,410,310,1.0,1.0,1.0,1.0
0.0,0,1,3730,150,0,0,6,3280,150,1.0,1.0,1.0,0.0
0.0,1,0,7150,280,0,0,0,6910,280,1.0,1.0,1.0,0.0
0.0,1,0,620,680,1,1,5,10,680,1.0,1.0,0.0,0.0
0.0,1,0,40,70,2,6,0,10,40,1.0,1.0,1.0,1.0
0.0,1,0,270,130,1,6,0,270,130,1.0,1.0,1.0,1.0
0.0,0,1,3410,2610,1,2,0,3220,150,1.0,1.0,1.0,1.0
0.0,1,0,1190,50,0,0,5,1170,50,1.0,1.0,0.0,0.0
0.0,0,1,870,90,0,0,2,870,90,1.0,1.0,1.0,0.0
0.0,0,1,14660,400,0,0,1,9060,400,1.0,1.0,1.0,0.0
0.0,1,0,40,40,1,6,0,10,10,1.0,1.0,0.0,0.0
0.0,0,1,2440,110,0,0,6,2420,90,1.0,1.0,1.0,0.0
0.0,0,0,2750,270,0,0,1,2750,120,1.0,1.0,0.0,0.0
0.0,0,1,140,140,1,6,0,40,140,1.0,1.0,1.0,1.0
0.0,0,1,10250,380,0,0,6,10230,380,1.0,1.0,0.0,0.0
0.0,0,1,9080,520,0,0,2,8900,370,1.0,1.0,1.0,0.0
0.0,0,1,3320,580,0,2,0,2800,310,1.0,1.0,1.0,0.0
0.0,0,1,4010,690,0,0,0,3980,200,1.0,1.0,1.0,1.0
0.0,1,0,100,80,0,6,0,100,80,1.0,1.0,0.0,0.0
0.0,1,0,590,90,0,0,6,500,50,1.0,1.0,1.0,0.0
0.0,0,1,580,100,1,2,3,580,0,1.0,1.0,0.0,0.0
0.0,0,1,1090,60,0,1,0,1070,60,1.0,1.0,1.0,1.0
0.0,1,0,3140,1390,2,3,3,3140,0,1.0,1.0,1.0,0.0
0.0,1,0,1780,50,0,0,1,1780,50,1.0,1.0,1.0,0.0
0.0,0,1,610,610,2,5,0,240,120,1.0,1.0,1.0,1.0
0.0,0,1,3890,140,0,1,1,3890,140,1.0,1.0,1.0,0.0
0.0,0,1,230,230,3,6,0,40,0,1.0,1.0,1.0,1.0
0.0,0,1,660,70,1,4,0,660,0,1.0,1.0,1.0,1.0
0.0,0,1,1550,90,0,0,4,1440,50,1.0,1.0,1.0,1.0
0.0,0,1,900,50,0,0,0,810,50,1.0,1.0,1.0,0.0
0.0,0,1,180,90,2,6,0,100,90,1.0,1.0,1.0,1.0
0.0,0,1,10,10,1,6,0,0,10,1.0,1.0,1.0,1.0
0.0,0,1,620,70,0,2,4,610,50,1.0,1.0,1.0,0.0
0.0,1,0,1610,170,2,5,0,1610,50,1.0,1.0,1.0,0.0
0.0,0,1,1150,70,0,0,0,1150,50,1.0,1.0,1.0,0.0
0.0,0,1,1560,150,0,6,0,1410,80,1.0,1.0,1.0,1.0
0.0,1,0,1090,60,0,0,0,1090,50,1.0,1.0,0.0,0.0
0.0,0,1,1570,90,0,0,3,1550,50,1.0,1.0,1.0,0.0
0.0,0,1,900,150,0,1,4,890,150,1.0,1.0,1.0,0.0
0.0,0,1,3040,3040,1,2,0,2140,220,1.0,1.0,1.0,1.0
0.0,0,1,600,150,2,6,0,600,100,1.0,1.0,1.0,0.0
0.0,1,0,910,50,0,0,0,850,50,1.0,1.0,1.0,0.0
0.0,1,0,650,650,2,6,0,40,40,1.0,1.0,1.0,0.0
0.0,1,0,1610,1610,2,5,0,240,70,1.0,1.0,1.0,0.0
0.0,1,0,1900,0,0,5,0,1900,0,1.0,1.0,0.0,0.0
0.0,0,1,3290,1980,1,4,0,2390,1220,1.0,1.0,1.0,1.0
0.0,0,1,1500,190,0,0,1,1500,50,1.0,1.0,1.0,0.0
0.0,1,0,580,580,2,6,0,140,140,1.0,1.0,1.0,1.0
0.0,0,1,1550,1570,2,5,0,70,1570,1.0,1.0,1.0,1.0
0.0,0,1,520,520,3,5,0,310,10,1.0,1.0,1.0,1.0
0.0,1,0,190,10,1,6,0,190,0,1.0,1.0,1.0,0.0
0.0,0,1,300,40,0,0,4,210,30,1.0,1.0,0.0,0.0
0.0,0,1,1090,50,0,0,6,1060,50,1.0,1.0,1.0,1.0
0.0,0,1,2140,60,0,2,0,2140,60,1.0,1.0,0.0,0.0
0.0,1,0,40,40,2,6,0,30,0,1.0,1.0,1.0,1.0
0.0,0,1,500,90,0,6,0,340,60,1.0,1.0,1.0,0.0
0.0,0,1,2110,380,0,0,3,2100,140,1.0,1.0,1.0,0.0
0.0,0,1,40,10,0,6,0,40,10,1.0,1.0,1.0,1.0
0.0,1,0,1550,70,0,0,3,1550,60,1.0,1.0,0.0,0.0
0.0,1,0,3150,150,0,0,0,3150,120,1.0,1.0,1.0,0.0
0.0,0,1,80,50,1,6,0,50,30,1.0,1.0,1.0,1.0
0.0,1,0,3890,1350,0,2,0,3890,310,1.0,1.0,1.0,0.0
0.0,0,1,5010,240,0,0,3,5010,240,1.0,1.0,0.0,0.0
0.0,0,1,1720,150,0,0,0,1630,130,1.0,1.0,1.0,1.0
0.0,1,0,5960,150,0,0,1,5960,150,1.0,1.0,0.0,0.0
0.0,1,0,3370,1280,1,5,0,3370,1280,1.0,1.0,1.0,1.0
0.0,0,1,1940,100,0,0,0,1850,100,1.0,1.0,1.0,1.0
0.0,1,0,5540,260,0,0,0,5520,260,1.0,1.0,1.0,0.0
0.0,1,0,360,40,0,6,0,270,40,1.0,1.0,1.0,0.0
0.0,1,0,80,30,0,6,0,50,30,1.0,1.0,1.0,0.0
0.0,0,1,0,50,1,6,0,0,0,1.0,1.0,1.0,1.0
0.0,0,1,6030,270,0,0,3,5930,270,1.0,1.0,1.0,1.0
0.0,1,0,70,80,3,6,0,50,20,1.0,1.0,1.0,0.0
0.0,1,0,4520,200,0,0,0,4370,200,1.0,1.0,1.0,0.0
0.0,1,0,1930,110,0,3,0,1800,80,1.0,1.0,1.0,1.0
0.0,0,1,3030,110,0,0,2,3030,110,1.0,1.0,1.0,0.0
0.0,0,1,0,4950,1,6,0,0,0,1.0,1.0,1.0,1.0
0.0,1,0,1560,70,0,0,2,1520,70,1.0,1.0,0.0,0.0
0.0,0,1,230,120,2,6,0,30,20,1.0,1.0,1.0,1.0
0.0,0,1,170,180,3,6,0,10,100,1.0,1.0,1.0,0.0
0.0,1,0,730,730,2,6,0,320,730,1.0,1.0,1.0,0.0
0.0,1,0,160,160,1,6,0,0,160,1.0,1.0,1.0,0.0
0.0,0,1,640,450,2,3,0,640,420,1.0,1.0,1.0,1.0
0.0,1,0,160,280,2,6,0,110,30,1.0,1.0,1.0,0.0
0.0,1,0,4490,210,0,0,2,4380,210,1.0,1.0,1.0,0.0
0.0,0,1,510,90,0,0,1,330,90,1.0,1.0,1.0,1.0
0.0,0,1,1700,50,0,2,0,1700,50,1.0,1.0,1.0,1.0
0.0,0,1,1640,80,0,0,0,1460,70,1.0,1.0,1.0,0.0
0.0,1,0,20,20,2,6,0,0,10,1.0,1.0,0.0,0.0
0.0,1,0,1560,110,0,0,2,1480,110,1.0,1.0,0.0,0.0
0.0,0,1,0,0,0,6,0,0,0,1.0,1.0,1.0,0.0
0.0,0,1,5500,1530,0,0,0,5260,640,1.0,1.0,1.0,1.0
0.0,0,1,260,110,0,6,0,40,30,1.0,1.0,1.0,0.0
0.0,0,1,3080,310,0,0,0,2840,310,1.0,1.0,1.0,0.0
0.0,0,1,1380,1160,1,5,0,0,0,1.0,1.0,1.0,0.0
0.0,1,0,1540,2360,2,6,0,1540,1360,1.0,1.0,1.0,0.0
0.0,1,0,3340,250,0,0,0,3050,160,1.0,1.0,1.0,1.0
0.0,0,1,970,350,0,4,0,320,0,1.0,1.0,1.0,1.0
0.0,1,0,2390,2390,2,6,0,0,0,1.0,1.0,1.0,0.0
0.0,0,1,630,50,0,0,6,630,40,1.0,1.0,1.0,1.0
0.0,0,1,4900,230,0,0,3,4380,180,1.0,1.0,1.0,1.0
0.0,0,1,4890,310,0,0,0,4790,310,1.0,1.0,1.0,1.0
0.0,0,1,10,0,0,6,0,10,0,1.0,1.0,1.0,0.0
0.0,0,1,200,210,4,6,0,30,210,1.0,1.0,1.0,1.0
0.0,0,1,0,60,1,6,0,0,0,1.0,1.0,1.0,0.0
0.0,0,1,190,40,1,6,0,180,40,1.0,1.0,1.0,0.0
0.0,0,1,760,620,2,6,0,70,0,1.0,1.0,1.0,1.0
0.0,1,0,8600,4430,2,2,3,8390,340,1.0,1.0,1.0,1.0
0.0,0,1,4440,170,0,0,1,4440,170,1.0,1.0,1.0,1.0
0.0,0,1,190,400,4,6,0,90,0,1.0,1.0,1.0,1.0
0.0,0,1,130,130,1,6,0,40,130,1.0,1.0,1.0,0.0
0.0,0,1,4340,200,0,0,6,4220,200,1.0,1.0,1.0,0.0
0.0,0,1,1190,710,1,3,0,1190,50,1.0,1.0,1.0,1.0
0.0,1,0,100,3050,5,6,0,0,310,1.0,1.0,1.0,1.0
0.0,0,1,2380,100,0,0,2,2350,100,1.0,1.0,1.0,0.0
0.0,1,0,580,100,0,0,0,490,100,1.0,1.0,0.0,0.0
0.0,0,1,4310,190,0,0,0,4310,190,1.0,1.0,1.0,0.0
0.0,0,1,5930,1070,0,0,0,5930,280,1.0,1.0,1.0,0.0
0.0,0,1,2580,120,0,0,0,2560,90,1.0,0.0,0.0,0.0
0.0,1,0,1560,1560,2,6,0,1520,10,1.0,1.0,1.0,1.0
0.0,0,1,2280,80,0,0,0,2180,80,1.0,1.0,1.0,0.0
0.0,0,1,1400,50,0,0,5,1400,0,1.0,1.0,1.0,0.0
0.0,0,1,20,20,1,6,0,20,10,1.0,1.0,1.0,1.0
0.0,1,0,260,260,3,6,0,0,50,1.0,1.0,1.0,0.0
0.0,1,0,1540,90,0,0,3,1440,90,1.0,1.0,1.0,0.0
0.0,0,1,90,50,0,2,0,90,0,1.0,1.0,1.0,0.0
0.0,1,0,0,0,0,6,0,0,0,1.0,1.0,1.0,1.0
0.0,0,1,660,1530,5,6,0,0,90,1.0,1.0,1.0,1.0
0.0,0,1,1520,270,0,0,0,1050,50,1.0,1.0,1.0,1.0
0.0,0,0,790,120,0,0,2,700,80,1.0,1.0,0.0,0.0
0.0,1,0,5460,4910,1,1,4,5290,250,1.0,1.0,1.0,1.0
0.0,1,0,690,60,0,0,0,580,50,1.0,1.0,0.0,0.0
0.0,1,0,770,130,0,0,2,630,0,1.0,1.0,1.0,0.0
0.0,0,1,440,430,3,6,0,330,430,1.0,1.0,1.0,1.0
0.0,0,1,2200,310,0,0,0,2140,110,1.0,1.0,1.0,1.0
0.0,0,1,2770,180,0,0,0,2720,130,1.0,1.0,1.0,0.0
0.0,1,0,3070,920,0,0,0,3070,90,1.0,1.0,0.0,0.0
0.0,0,1,960,310,1,2,0,690,310,1.0,1.0,1.0,0.0
0.0,1,0,10520,460,0,0,3,10320,460,1.0,0.0,0.0,0.0
0.0,0,1,2440,2440,1,5,1,0,2440,1.0,1.0,1.0,1.0
0.0,1,0,4970,240,0,0,6,4680,240,1.0,1.0,1.0,0.0
0.0,1,0,0,0,0,6,0,0,0,1.0,1.0,1.0,1.0
0.0,1,0,3170,130,0,0,0,3170,130,1.0,1.0,1.0,0.0
0.0,0,1,650,110,0,6,0,610,90,1.0,1.0,1.0,0.0
0.0,1,0,1160,760,0,6,0,1160,760,1.0,1.0,1.0,1.0
0.0,0,1,4400,310,0,0,6,4350,310,1.0,1.0,1.0,1.0
0.0,0,1,1310,80,0,0,0,1250,80,1.0,1.0,1.0,1.0
0.0,0,1,30,30,2,6,0,0,0,1.0,1.0,1.0,0.0
0.0,1,0,3310,150,0,0,0,3200,120,1.0,1.0,1.0,0.0
0.0,0,1,3690,250,0,0,6,3670,120,1.0,1.0,1.0,0.0
0.0,0,1,5650,5650,1,1,0,4770,160,1.0,1.0,1.0,1.0
0.0,0,0,1260,80,0,0,0,1260,50,1.0,1.0,0.0,0.0
0.0,1,0,880,70,0,0,6,850,50,1.0,1.0,1.0,0.0
0.0,1,0,2510,2620,2,5,0,120,80,1.0,1.0,1.0,1.0
0.0,1,0,810,180,0,5,0,810,180,1.0,1.0,1.0,0.0
0.0,1,0,15480,470,0,0,3,15480,10,1.0,1.0,1.0,1.0
0.0,0,1,2030,500,0,5,0,1700,350,1.0,1.0,1.0,1.0
0.0,0,1,5580,310,0,0,0,5140,310,1.0,1.0,1.0,1.0
0.0,1,0,10,10,1,6,0,10,0,1.0,1.0,1.0,1.0
0.0,1,0,140,140,3,6,0,0,0,1.0,1.0,1.0,1.0
0.0,1,0,6110,6110,4,5,0,450,820,1.0,1.0,0.0,0.0
0.0,1,0,690,150,1,5,0,690,150,1.0,1.0,0.0,0.0
0.0,0,1,450,530,2,6,0,220,530,1.0,1.0,1.0,1.0
0.0,0,1,590,60,0,0,0,450,60,1.0,1.0,1.0,1.0
0.0,1,0,1350,110,0,0,2,1350,110,1.0,1.0,1.0,0.0
0.0,0,1,920,80,0,0,6,770,50,1.0,1.0,1.0,1.0
0.0,0,1,5180,280,0,0,0,5180,250,1.0,1.0,1.0,1.0
0.0,0,1,310,90,2,6,0,310,90,1.0,1.0,1.0,0.0
0.0,1,0,6280,310,0,0,0,5880,310,1.0,1.0,1.0,0.0
0.0,1,0,340,0,0,6,0,340,0,1.0,1.0,1.0,0.0
0.0,0,1,2140,870,0,0,3,2140,110,1.0,1.0,1.0,1.0
0.0,0,1,6490,180,0,0,2,6490,180,1.0,1.0,1.0,0.0
0.0,0,1,2810,100,0,0,5,2810,100,1.0,1.0,1.0,0.0
0.0,0,1,1620,80,0,0,0,1470,80,1.0,1.0,1.0,1.0
0.0,1,0,5170,200,0,0,0,4880,200,1.0,1.0,1.0,1.0
0.0,1,0,530,530,1,6,0,280,180,1.0,1.0,0.0,0.0
0.0,0,1,430,10,2,5,0,430,0,1.0,1.0,1.0,1.0
0.0,1,0,1910,70,0,0,0,1890,70,1.0,1.0,0.0,0.0
0.0,1,0,1560,90,0,0,4,1560,80,1.0,1.0,1.0,1.0
0.0,0,1,390,350,2,4,0,10,10,1.0,1.0,1.0,0.0
0.0,0,1,2850,200,0,0,6,2560,120,1.0,1.0,1.0,1.0
0.0,0,1,90,90,3,6,0,0,0,1.0,1.0,1.0,1.0
0.0,0,1,3860,310,0,0,0,3750,170,1.0,1.0,1.0,1.0
0.0,0,1,1140,50,0,6,0,1140,50,1.0,1.0,1.0,0.0
0.0,0,1,4470,140,0,0,1,4470,140,1.0,1.0,1.0,1.0
0.0,1,0,1410,900,2,5,0,1410,40,1.0,1.0,1.0,1.0
0.0,1,0,1180,150,1,6,0,1180,150,1.0,0.0,0.0,0.0
0.0,1,0,2990,390,0,0,0,2940,140,1.0,1.0,0.0,0.0
0.0,0,1,8020,3970,1,1,2,7810,430,1.0,1.0,1.0,0.0
0.0,0,1,4790,60,2,5,0,4790,10,1.0,1.0,1.0,1.0
0.0,0,1,2400,1570,1,0,2,2390,80,1.0,1.0,1.0,0.0
0.0,0,1,1220,160,0,1,2,1220,60,1.0,1.0,1.0,0.0
