GoodCustomer,Gender,Single,Age,Duration,LoanPurpose,LoanAmount,LoanRateAtPercentOfIncome,HasCheckingAccount,HasSavingsAccount,NumberOfExistingLoans,NumberOfLiableIndividuals,HasOtherDebtor,LengthOfEmployment,JobType,Unemployed,RentsOwnsHome,YearsInCurrentHome,HasTelephone
1,1,0,26,12,3,1158,3,1,1,1,1,0,2,2,0,1,1,1
1,1,1,44,18,5,6204,2,1,1,1,2,0,2,1,0,1,4,1
1,1,0,24,30,1,6187,1,1,1,2,1,0,3,2,0,0,4,0
-1,2,0,58,48,1,6143,4,1,1,2,1,0,4,1,0,2,4,0
1,2,0,35,11,0,1393,4,0,1,2,1,0,1,3,0,1,4,0
1,1,1,39,36,3,2299,4,0,1,1,1,0,4,2,0,1,4,0
1,2,0,23,6,1,1352,1,1,1,1,1,0,0,0,1,0,2,1
1,1,1,39,11,0,7228,1,0,1,2,1,0,2,1,0,1,4,0
1,2,0,28,12,3,2073,4,0,1,1,1,1,2,2,0,1,2,0
1,1,1,29,24,2,2333,4,1,0,1,1,0,1,1,0,1,2,0
1,1,1,30,27,1,5965,1,1,1,2,1,0,4,3,0,1,2,1
1,1,1,25,12,3,1262,3,0,1,1,1,0,2,2,0,1,2,0
1,1,1,31,18,1,3378,2,0,0,1,1,0,2,2,0,1,1,1
-1,1,1,57,36,0,2225,4,1,1,2,1,0,4,2,0,2,4,1
1,1,1,26,6,0,783,1,0,0,1,2,2,2,1,0,1,2,0
-1,1,1,52,12,3,6468,2,1,0,1,1,0,0,3,1,1,1,1
1,2,0,31,36,3,9566,2,0,1,2,1,0,2,2,0,1,2,0
1,2,0,23,18,0,1961,3,1,1,1,1,0,4,3,0,1,2,0
-1,2,0,23,36,2,6229,4,1,1,2,1,1,1,1,0,0,4,1
1,1,0,27,9,9,1391,2,1,1,1,1,0,2,2,0,1,1,1
1,1,1,50,15,3,1537,4,1,0,2,1,2,4,2,0,1,4,1
-1,1,1,61,36,9,1953,4,1,1,1,1,0,4,3,0,2,4,1
-1,1,1,25,48,9,14421,2,1,1,1,1,0,2,2,0,1,2,1
1,2,0,26,24,3,3181,4,0,1,1,1,0,1,2,0,1,4,1
1,1,1,48,27,5,5190,4,0,0,4,2,0,4,2,0,1,4,1
1,2,0,29,12,3,2171,2,0,1,1,1,0,1,2,0,1,2,0
1,1,0,22,12,0,1007,4,1,1,1,1,0,2,2,0,1,1,0
-1,1,1,37,36,6,1819,4,0,1,1,1,0,2,2,0,2,4,1
1,2,0,25,36,3,2394,4,0,0,1,1,0,2,2,0,1,4,0
1,2,0,30,36,1,8133,1,0,1,1,1,0,2,2,0,1,2,0
1,1,1,46,7,3,730,4,0,0,2,1,0,4,1,0,0,2,1
1,1,1,51,8,10,1164,3,1,1,2,2,0,4,3,0,2,4,1
1,2,0,41,42,9,5954,2,1,1,2,1,0,3,1,0,1,1,0
-1,1,1,40,36,6,1977,4,1,0,1,1,0,4,3,0,1,4,1
1,1,1,66,12,1,1526,4,1,1,2,1,0,4,3,0,2,4,0
-1,1,1,34,42,3,3965,4,1,1,1,1,0,1,2,0,1,3,0
1,1,1,51,11,3,4771,2,1,1,1,1,0,3,2,0,1,4,0
1,1,1,39,54,1,9436,2,0,0,1,2,0,2,1,0,1,2,0
1,1,0,22,30,2,3832,2,1,1,1,1,0,1,2,0,1,1,0
-1,2,0,44,24,3,5943,1,0,0,2,1,0,1,2,0,1,1,1
1,1,1,47,15,3,1213,4,0,1,1,1,0,4,2,0,1,3,1
1,2,0,24,18,9,1568,3,0,1,1,1,0,2,1,0,0,4,0
1,2,0,58,24,10,1755,4,1,1,1,1,2,4,1,0,1,4,1
1,1,1,52,10,3,2315,3,1,1,1,1,0,4,1,0,1,4,0
1,2,0,29,12,9,1412,4,0,1,2,1,2,2,3,0,1,2,1
1,2,0,27,18,2,1295,4,1,1,2,1,0,1,2,0,1,1,0
-1,1,1,47,36,6,12612,1,1,1,1,2,0,2,2,0,2,4,1
1,1,1,30,18,0,2249,4,1,1,1,2,0,3,3,0,1,3,1
-1,1,1,28,12,5,1108,4,1,1,2,1,0,3,2,0,1,3,0
1,1,1,56,12,3,618,4,0,1,1,1,0,4,2,0,1,4,0
1,1,1,54,12,1,1409,4,1,1,1,1,0,4,2,0,1,3,0
-1,2,0,33,12,3,797,4,0,0,1,2,0,4,1,0,1,3,0
1,1,1,20,24,2,3617,4,1,0,2,1,1,4,2,0,0,4,0
1,1,1,54,12,0,1318,4,1,1,1,1,0,4,2,0,1,4,1
-1,1,1,58,54,9,15945,3,1,1,1,1,0,1,2,0,0,4,1
1,2,0,61,12,6,2012,4,0,0,1,1,0,3,2,0,1,2,0
1,1,1,34,18,9,2622,4,1,1,1,1,0,2,2,0,1,4,0
1,1,1,36,36,3,2337,4,1,1,1,1,0,4,2,0,1,4,0
1,1,1,36,20,1,7057,3,1,0,2,2,0,3,3,0,0,4,1
1,1,0,41,24,0,1469,4,0,1,1,1,0,4,1,0,0,4,0
1,1,1,24,36,3,2323,4,1,1,1,1,0,3,2,0,0,4,0
1,2,0,24,6,3,932,3,0,1,1,1,0,2,2,0,1,2,0
1,1,1,35,9,2,1919,4,1,1,1,1,0,3,2,0,0,3,1
1,1,0,26,12,1,2445,2,0,0,1,1,0,1,2,0,0,4,1
-1,1,1,39,24,10,11938,2,1,1,2,2,1,2,3,0,1,3,1
-1,1,1,39,18,0,6458,2,0,1,2,2,0,4,3,0,1,4,1
1,1,1,32,12,0,6078,2,1,1,1,1,0,3,2,0,1,2,0
1,2,0,30,24,2,7721,1,1,0,1,1,0,1,2,0,1,2,1
1,1,0,35,14,9,1410,1,1,1,1,1,0,4,2,0,1,2,1
1,1,0,31,6,9,1449,1,1,1,2,2,0,4,2,0,1,2,0
1,2,0,23,15,6,392,4,1,1,1,1,0,1,2,0,0,4,1
1,1,1,28,18,0,6260,3,1,1,1,1,0,3,1,0,0,3,0
-1,2,0,25,36,0,7855,4,0,1,2,1,0,2,2,0,1,2,1
1,1,0,35,12,3,1680,3,1,1,1,1,0,4,2,0,1,1,0
1,1,1,47,48,3,3578,4,0,0,1,1,0,4,2,0,1,1,1
-1,2,0,30,42,3,7174,4,1,0,1,1,0,3,3,0,1,3,1
1,2,0,27,10,2,2132,2,1,0,2,1,1,1,2,0,0,3,0
-1,2,0,23,33,2,4281,1,1,1,2,1,0,2,2,0,1,4,0
1,1,0,36,12,0,2366,3,1,1,1,1,0,3,3,0,1,3,1
-1,2,0,25,21,3,1835,3,1,1,2,1,0,2,2,0,1,2,1
1,2,0,41,24,1,3868,4,0,1,2,1,0,4,3,0,0,2,1
1,1,1,24,12,2,1768,3,0,1,1,1,0,2,1,0,0,2,0
1,1,1,63,10,0,781,4,1,1,2,1,0,4,2,0,2,4,1
-1,2,0,27,18,2,1924,4,1,0,1,1,0,1,2,0,0,3,0
1,1,1,30,12,0,2121,4,1,1,2,1,0,2,2,0,1,2,0
1,1,0,40,12,3,701,4,1,1,1,1,0,2,1,0,1,2,0
-1,1,1,30,12,5,639,4,1,1,1,1,0,2,2,0,1,2,0
1,1,1,34,12,1,1860,4,1,1,2,1,0,0,3,1,1,2,1
-1,2,0,29,12,0,3499,3,1,1,2,1,1,2,2,0,1,2,0
1,2,0,24,48,0,8487,1,1,0,1,1,0,3,2,0,1,2,0
-1,1,1,29,36,6,6887,4,1,1,1,1,0,2,2,0,1,3,1
1,1,1,27,15,2,2708,2,0,1,2,1,0,1,1,0,1,3,0
1,1,1,47,18,2,1984,4,0,1,2,1,0,2,2,0,2,4,0
1,2,0,21,60,3,10144,2,0,1,1,1,0,3,2,0,1,4,1
1,2,0,38,12,3,1240,4,0,0,2,1,0,4,2,0,1,2,1
1,1,1,27,27,1,8613,2,0,1,2,1,0,2,2,0,1,2,0
-1,1,1,66,12,3,766,4,1,1,1,1,0,2,1,0,1,3,0
1,1,1,35,15,3,2728,4,1,0,3,1,2,3,2,0,1,2,1
1,2,0,44,12,3,1881,2,1,1,1,1,0,2,1,0,0,2,1
1,1,0,27,6,0,709,2,1,1,1,1,0,1,0,0,1,2,0
1,2,0,30,36,3,4795,4,1,1,1,1,0,1,3,0,1,1,1
1,1,1,27,27,3,3416,3,1,1,1,1,0,2,3,0,1,2,0
-1,1,1,22,18,2,2462,2,1,1,1,1,0,2,2,0,1,2,0
1,2,0,23,21,2,2288,4,0,1,1,1,0,1,2,0,1,4,1
1,1,1,30,48,9,3566,4,1,1,1,1,0,3,2,0,1,2,0
1,2,0,39,6,0,860,1,1,1,2,1,0,4,2,0,1,4,1
1,2,0,51,12,0,682,4,0,1,2,1,0,3,2,0,1,3,1
1,1,1,28,36,2,5371,3,1,1,2,1,2,2,2,0,1,2,0
1,1,1,46,18,3,1582,4,0,1,2,1,0,4,2,0,1,4,0
1,1,1,42,6,3,1346,2,0,1,1,2,0,4,2,0,2,4,1
1,1,1,38,10,3,1924,1,0,1,1,1,0,2,2,0,1,4,1
1,1,1,24,36,3,5848,4,1,1,1,1,0,2,2,0,1,1,0
1,2,0,29,24,1,7758,2,1,1,1,1,0,4,2,0,0,4,0
1,1,1,36,24,9,6967,4,1,1,1,1,0,3,3,0,0,4,1
-1,2,0,20,12,2,1282,2,1,1,1,1,0,2,2,0,0,4,0
1,1,1,48,9,5,1288,3,1,1,2,2,2,4,2,0,1,4,0
1,1,0,45,12,8,339,4,1,1,1,1,0,4,1,0,1,1,0
1,1,1,38,24,0,3512,2,1,1,2,1,0,3,2,0,1,3,1
1,1,1,34,6,3,1898,1,0,0,2,2,0,2,1,0,1,2,0
1,1,1,36,24,3,2872,3,0,1,1,2,0,4,2,0,1,4,1
1,2,0,30,18,0,1055,4,0,1,2,1,0,1,2,0,1,1,0
1,1,1,36,15,4,1262,4,0,1,2,1,0,3,2,0,1,3,1
1,1,1,70,10,0,7308,2,1,1,1,1,0,0,3,1,2,4,1
1,1,1,36,36,0,909,4,0,1,1,1,0,4,2,0,1,4,0
1,1,1,32,6,2,2978,1,0,1,1,1,0,2,2,0,1,2,1
-1,2,0,33,18,2,1131,4,1,1,1,1,0,0,2,1,1,2,0
1,2,0,20,11,2,1577,4,1,1,1,1,0,1,2,0,1,1,0
1,2,0,25,24,2,3972,2,0,1,1,1,0,3,2,0,0,4,1
-1,1,0,31,24,9,1935,4,1,1,2,1,0,4,2,0,1,4,1
-1,1,1,33,15,0,950,4,1,1,2,2,0,4,2,0,0,3,0
1,2,0,26,12,2,763,4,0,1,1,1,0,2,2,0,1,1,1
-1,2,0,34,24,2,2064,3,1,1,1,1,0,0,3,1,1,2,1
1,1,1,33,8,3,1414,4,1,1,1,1,2,2,2,0,1,2,0
-1,1,1,26,21,6,3414,2,1,1,2,1,0,1,2,0,1,1,0
-1,2,0,53,30,1,7485,4,0,0,1,1,0,0,3,1,1,1,1
1,1,0,42,12,2,2577,2,1,1,1,1,0,2,2,0,1,1,0
1,1,1,52,6,3,338,4,1,1,2,1,0,4,2,0,1,4,0
1,1,1,31,12,3,1963,4,0,1,2,2,0,3,3,0,0,2,1
1,1,1,65,21,0,571,4,1,1,2,1,0,4,2,0,1,4,0
-1,1,0,28,36,9,9572,1,0,1,2,1,0,1,2,0,1,1,0
-1,1,0,30,36,9,4455,2,1,1,2,1,0,2,3,0,1,2,1
-1,1,1,40,21,0,1647,4,1,0,2,2,0,2,1,0,1,2,0
1,1,1,50,24,2,3777,4,0,1,1,1,0,2,2,0,1,4,1
-1,1,1,36,18,0,884,4,1,1,1,2,0,4,2,0,1,4,1
1,1,1,31,15,3,1360,4,0,1,2,1,0,2,2,0,1,2,0
-1,2,0,74,9,1,5129,2,1,1,1,2,0,4,3,0,2,4,1
1,1,1,68,16,0,1175,2,1,1,3,1,0,0,0,1,2,3,1
-1,1,0,20,12,3,674,4,1,1,1,1,0,3,2,0,1,1,0
1,2,0,33,18,2,3244,1,1,1,2,1,0,2,2,0,1,4,1
-1,1,1,54,24,9,4591,2,0,1,3,1,0,2,3,0,1,3,1
-1,1,1,34,48,9,3844,4,1,1,1,2,0,3,1,0,2,4,0
-1,1,1,36,27,9,3915,4,1,1,1,2,0,2,2,0,1,2,1
1,1,0,29,6,3,2108,2,0,1,1,1,0,3,2,0,0,2,0
-1,1,1,21,45,3,3031,4,1,1,1,1,2,2,2,0,0,4,0
-1,2,0,34,9,6,1501,2,1,1,2,1,0,4,3,0,1,3,1
1,2,0,28,6,3,1382,1,0,1,2,1,0,2,2,0,1,1,1
-1,2,0,27,12,2,951,4,1,1,4,1,0,1,2,0,0,4,0
1,1,1,36,24,1,2760,4,1,0,1,1,0,4,2,0,2,4,1
-1,1,0,40,18,2,4297,4,1,1,1,1,0,4,3,0,1,3,1
1,1,1,52,9,6,936,4,0,1,2,1,0,4,2,0,1,2,1
1,1,0,27,12,0,1168,4,1,1,1,1,0,2,1,0,1,3,0
1,1,1,26,27,9,5117,3,0,1,2,1,0,3,2,0,1,4,0
-1,1,0,21,12,8,902,4,1,1,1,1,0,3,2,0,0,4,0
1,1,1,38,12,0,1495,4,0,1,2,2,0,4,1,0,1,1,0
1,1,1,38,30,1,10623,3,1,1,3,2,0,4,3,0,2,4,1
1,1,1,43,12,2,1935,4,0,1,3,1,0,4,2,0,1,4,1
1,1,1,26,12,4,1424,4,1,1,1,1,0,3,2,0,1,3,0
1,1,0,21,24,9,6568,2,1,1,1,1,0,2,1,0,1,2,0
1,1,1,55,12,1,1413,3,0,1,1,1,0,3,2,0,1,2,0
1,1,1,33,9,3,3074,1,0,0,2,2,0,2,2,0,1,2,0
1,2,0,45,36,3,3835,2,0,0,1,1,0,4,1,0,1,4,1
-1,1,1,50,27,9,5293,2,1,1,2,1,0,0,2,1,1,4,1
-1,1,1,66,30,9,1908,4,1,1,1,1,0,4,3,0,1,4,1
1,1,1,51,36,3,3342,4,0,0,1,1,0,4,2,0,1,2,1
1,2,0,39,6,8,932,1,1,0,2,1,0,3,1,0,1,3,0
1,1,1,31,18,9,3104,3,1,1,1,1,0,3,2,0,1,1,1
1,1,1,23,36,3,3913,2,1,1,1,1,0,2,2,0,1,2,1
1,1,0,24,24,2,3021,2,1,1,1,1,0,2,1,0,0,2,0
1,2,0,64,10,0,1364,2,0,1,1,1,0,2,2,0,1,4,1
1,1,0,26,12,3,625,4,1,1,1,1,2,1,1,0,1,1,0
1,2,0,23,12,6,1200,4,1,0,1,1,0,2,2,0,0,4,1
1,1,1,30,12,3,707,4,0,1,2,1,0,2,2,0,1,2,0
1,1,1,32,24,9,2978,4,0,0,2,2,0,2,2,0,1,4,1
1,1,1,30,15,1,4657,3,0,1,1,1,0,2,2,0,1,2,1
1,1,1,27,36,5,2613,4,0,1,2,1,0,2,2,0,1,2,0
-1,1,1,27,48,3,10961,1,1,1,2,1,1,3,2,0,1,2,1
-1,1,1,53,12,2,7865,4,1,1,1,1,0,4,3,0,2,4,1
-1,1,1,22,9,3,1478,4,0,1,1,1,0,3,2,0,1,2,0
1,1,1,22,24,2,3149,4,1,1,1,1,0,1,2,0,2,1,0
-1,1,1,26,36,3,4210,4,1,1,1,1,0,2,2,0,1,2,0
1,1,1,51,9,0,2507,2,0,1,1,1,0,4,1,0,2,4,0
1,1,1,35,12,3,2141,3,0,1,1,1,0,3,2,0,1,1,0
1,1,0,25,18,3,866,4,1,1,1,1,2,2,1,0,1,2,0
1,1,1,42,4,3,1544,2,0,1,3,2,0,3,1,0,1,1,0
-1,1,1,30,24,3,1823,4,1,1,1,2,0,0,3,1,1,2,0
-1,1,1,23,6,0,14555,1,1,0,1,1,0,0,0,1,1,2,1
-1,1,0,61,21,9,2767,4,1,1,2,1,0,4,1,0,0,2,0
1,2,0,35,12,3,1291,4,0,1,2,1,0,2,2,0,1,2,0
1,1,1,39,30,3,2522,1,1,1,1,2,2,4,2,0,1,3,0
-1,2,0,29,24,0,915,4,1,0,1,1,0,4,2,0,1,2,0
1,1,1,51,6,3,1595,3,0,1,1,2,0,3,2,0,1,2,0
-1,1,1,24,48,1,4605,3,1,1,2,2,0,4,2,0,2,4,0
1,2,0,27,12,9,1185,3,0,1,2,1,0,2,2,0,1,2,0
1,2,0,35,12,8,3447,4,0,1,1,2,0,2,1,0,1,3,0
1,1,1,25,24,9,1258,4,0,1,1,1,0,3,2,0,1,1,1
1,1,1,52,12,3,717,4,0,1,3,1,0,4,2,0,1,4,0
1,1,1,35,6,0,1204,4,0,1,1,1,0,2,2,0,0,1,0
1,1,1,26,24,2,1925,2,1,1,1,1,0,2,2,0,1,2,0
-1,2,0,22,18,3,433,3,0,1,1,1,1,0,2,1,0,4,0
1,2,0,39,6,0,666,3,1,1,2,1,0,3,1,0,1,4,1
1,2,0,46,12,2,2251,1,1,1,1,1,0,2,1,0,1,2,0
-1,2,0,24,30,0,2150,4,1,1,1,1,2,2,2,0,1,2,0
1,1,1,35,24,2,4151,2,0,1,2,1,0,2,2,0,1,3,0
1,1,1,24,9,2,2030,2,1,0,1,1,0,3,2,0,1,1,1
1,1,1,27,60,3,7418,1,1,0,1,1,0,2,1,0,1,1,0
1,1,1,35,24,3,2684,4,0,1,2,1,0,2,1,0,1,2,0
-1,1,0,29,12,3,2149,4,1,1,1,1,0,2,2,0,2,1,0
1,2,0,23,15,1,3812,1,0,1,1,1,0,1,2,0,1,4,1
1,2,0,57,11,3,1154,4,0,1,3,1,0,0,1,1,1,4,0
1,1,1,27,12,2,1657,2,1,1,1,1,0,2,2,0,1,2,0
1,2,0,55,24,3,1603,4,1,1,1,1,0,4,2,0,1,4,0
1,1,1,36,18,0,5302,2,1,1,3,1,0,4,3,0,2,4,1
1,2,0,57,12,6,2748,2,0,1,3,1,0,4,1,0,2,4,0
1,1,1,32,10,0,1231,3,0,1,2,2,0,4,1,0,1,4,0
-1,1,1,37,15,3,802,4,1,1,1,2,0,4,2,0,1,3,0
1,1,1,36,36,9,6304,4,0,0,2,1,0,4,2,0,1,4,0
1,2,0,38,24,3,1533,4,0,1,1,1,0,1,2,0,1,3,1
-1,1,0,45,14,0,8978,1,1,1,1,1,0,4,3,0,1,4,1
1,1,1,25,24,3,999,4,0,0,2,1,0,4,2,0,1,2,0
1,1,1,32,18,0,2662,4,0,0,1,1,0,3,2,0,1,3,0
1,2,0,37,12,2,1402,3,0,1,1,1,0,3,2,0,0,4,1
1,1,1,36,48,0,12169,4,1,0,1,1,1,0,3,1,2,4,1
-1,1,1,28,48,3,3060,4,1,1,2,1,0,3,2,0,1,4,0
-1,1,0,34,30,5,11998,1,1,1,1,1,0,1,1,0,1,1,1
1,1,1,32,9,3,2697,1,0,1,1,2,0,2,2,0,1,2,0
1,2,0,26,18,3,2404,2,0,1,2,1,0,2,2,0,1,2,0
1,1,0,49,12,2,1262,2,1,0,1,1,0,4,1,0,1,4,1
-1,2,0,32,6,2,4611,1,0,1,1,1,0,1,2,0,1,4,0
1,1,1,29,24,3,1901,4,0,1,1,1,0,2,3,0,0,4,1
1,1,1,23,15,1,3368,3,0,1,2,1,0,4,2,0,0,4,1
1,1,1,50,12,2,1574,4,0,1,1,1,0,2,2,0,1,2,0
1,1,1,49,18,3,1445,4,1,0,1,1,0,3,1,0,1,4,0
1,1,1,63,15,2,1520,4,0,0,1,1,0,4,2,0,1,4,0
1,1,0,37,24,0,3878,4,1,1,1,1,0,1,2,0,1,2,1
1,2,0,35,47,0,10722,1,1,1,1,1,0,1,1,0,1,1,1
1,1,1,26,48,1,4788,4,1,1,1,2,0,3,2,0,1,3,0
1,1,1,31,48,10,7582,2,1,1,1,1,0,0,3,1,2,4,1
1,2,0,49,12,3,1092,4,1,1,2,1,2,2,2,0,1,4,1
-1,1,0,48,24,3,1024,4,1,1,1,1,0,1,2,0,1,4,0
1,1,0,26,12,9,1076,2,0,1,1,1,0,2,2,0,1,2,1
-1,1,0,28,36,1,9398,1,1,1,1,1,0,1,3,0,0,4,1
1,2,0,44,24,1,6419,2,1,1,2,2,0,4,3,0,2,4,1
1,1,1,56,42,1,4796,4,1,1,1,1,0,4,2,0,2,4,0
1,1,0,46,48,9,7629,4,0,0,2,2,0,4,3,0,1,2,0
-1,2,0,26,48,2,9960,1,1,1,1,1,0,1,2,0,1,2,1
1,2,0,20,12,1,4675,1,0,0,1,1,0,1,2,0,0,4,0
1,1,1,45,10,0,1287,4,0,0,1,1,1,4,1,0,1,2,0
1,1,1,43,18,2,2515,3,0,1,1,1,0,2,2,0,1,4,1
1,1,1,32,21,2,2745,3,1,1,2,1,0,3,2,0,1,2,1
1,2,0,54,6,0,672,1,0,1,1,1,0,0,0,1,1,4,1
-1,2,0,42,36,3,3804,4,1,1,1,1,0,2,2,0,1,1,1
-1,1,1,37,24,0,1344,4,1,0,2,2,0,3,1,0,1,2,0
1,1,1,49,10,0,1038,4,1,1,2,1,1,3,2,0,1,3,1
-1,1,1,44,48,0,10127,2,0,1,1,1,0,2,2,0,2,2,0
1,1,0,33,6,2,1543,4,0,1,1,1,0,2,2,0,1,2,0
1,2,0,24,30,1,4811,2,0,0,1,1,0,3,1,0,0,4,0
-1,1,0,33,12,3,727,4,1,1,1,1,0,1,1,0,1,3,1
-1,2,0,24,8,2,1237,3,1,1,1,1,0,2,2,0,1,4,0
1,1,0,22,9,0,276,4,1,1,1,1,0,2,1,0,0,4,0
1,1,1,40,48,10,5381,3,1,0,1,1,0,0,0,1,2,4,1
1,1,1,25,24,2,5511,4,0,1,1,1,0,2,2,0,1,1,0
1,2,0,26,24,2,3749,2,1,1,1,1,0,1,2,0,1,4,0
-1,1,0,25,12,0,685,2,1,1,1,1,0,3,1,0,1,3,0
1,1,1,29,4,0,1494,1,1,0,1,2,0,1,1,0,1,2,0
-1,1,1,31,36,2,2746,4,1,1,1,1,0,4,2,0,1,4,0
1,1,1,38,12,2,708,2,1,1,1,2,2,2,1,0,1,3,0
1,2,0,48,24,2,4351,1,1,0,1,1,0,2,1,0,1,4,1
1,1,1,32,12,6,701,4,0,1,2,1,0,2,2,0,1,2,0
1,2,0,27,15,2,3643,1,1,1,2,1,0,4,1,0,1,4,0
-1,1,0,28,30,0,4249,4,1,1,2,1,0,0,3,1,1,2,0
-1,1,0,32,24,3,1938,4,1,1,1,1,0,1,2,0,1,3,0
1,1,1,34,24,1,2910,2,1,1,1,1,0,3,3,0,2,1,1
1,1,1,28,18,2,2659,4,1,1,1,1,0,2,2,0,1,2,0
1,2,0,36,18,0,1028,4,0,1,2,1,0,2,2,0,1,3,0
1,1,1,39,8,0,3398,1,1,1,2,1,0,3,1,0,1,4,0
1,1,1,49,12,2,5801,2,0,0,1,1,0,4,2,0,0,4,1
1,2,0,34,24,0,1525,4,0,1,1,2,0,3,2,0,1,3,1
1,1,1,31,36,3,4473,4,1,1,1,1,0,4,2,0,1,2,0
1,1,1,28,6,3,1068,4,1,1,1,2,0,4,2,0,1,4,0
1,1,1,75,24,1,6615,2,1,1,2,1,0,0,3,1,2,4,1
-1,2,0,30,18,6,1864,4,0,1,2,1,0,2,2,0,1,2,0
-1,2,0,24,60,0,7408,4,1,1,1,1,0,1,3,0,1,2,0
-1,2,0,24,48,1,11590,2,0,1,2,1,0,2,1,0,0,4,0
-1,1,1,23,24,2,4110,3,1,1,2,2,0,4,2,0,0,4,0
-1,1,0,44,6,2,3384,1,1,1,1,1,0,2,3,0,0,4,1
1,2,0,23,13,3,2101,2,1,1,1,1,2,1,1,0,1,4,0
-1,2,0,24,15,4,1275,4,1,0,1,1,0,2,2,0,0,2,0
1,1,1,28,24,2,4169,4,1,1,1,1,0,2,2,0,1,4,0
1,1,0,31,10,2,1521,4,1,1,1,1,0,2,1,0,1,2,0
1,2,0,24,24,6,5743,2,1,1,2,1,0,1,2,0,2,4,1
1,2,0,26,21,2,3599,1,1,1,1,1,0,3,1,0,0,4,0
1,1,0,25,18,3,3213,1,1,1,1,1,0,1,2,0,0,3,0
1,1,1,33,18,9,4439,1,1,1,1,1,1,4,3,0,1,1,1
1,1,1,37,10,0,3949,1,1,1,1,2,2,1,1,0,1,1,0
1,2,0,43,15,3,1459,4,0,1,1,1,0,2,1,0,1,2,0
1,1,1,23,13,3,882,4,1,1,2,1,2,1,2,0,1,4,0
1,2,0,23,24,3,3758,1,1,1,1,1,0,0,0,1,0,4,0
1,1,1,34,6,9,1743,1,0,1,2,1,0,2,1,0,1,2,0
